7.547 | 0.014 | Spitzer IRS (Cassis), low-res
7.589 | 0.011 | Spitzer IRS (Cassis), low-res
7.651 | 0.012 | Spitzer IRS (Cassis), low-res
7.671 | 0.015 | Spitzer IRS (Cassis), low-res
7.713 | 0.017 | Spitzer IRS (Cassis), low-res
7.733 | 0.019 | Spitzer IRS (Cassis), low-res
7.775 | 0.019 | Spitzer IRS (Cassis), low-res
7.837 | 0.022 | Spitzer IRS (Cassis), low-res
7.857 | 0.021 | Spitzer IRS (Cassis), low-res
7.899 | 0.020 | Spitzer IRS (Cassis), low-res
7.961 | 0.022 | Spitzer IRS (Cassis), low-res
7.982 | 0.021 | Spitzer IRS (Cassis), low-res
8.023 | 0.019 | Spitzer IRS (Cassis), low-res
8.086 | 0.018 | Spitzer IRS (Cassis), low-res
8.148 | 0.015 | Spitzer IRS (Cassis), low-res
8.210 | 0.014 | Spitzer IRS (Cassis), low-res
8.230 | 0.015 | Spitzer IRS (Cassis), low-res
8.272 | 0.012 | Spitzer IRS (Cassis), low-res
8.292 | 0.014 | Spitzer IRS (Cassis), low-res
8.334 | 0.011 | Spitzer IRS (Cassis), low-res
8.354 | 0.011 | Spitzer IRS (Cassis), low-res
8.396 | 0.009 | Spitzer IRS (Cassis), low-res
8.416 | 0.009 | Spitzer IRS (Cassis), low-res
8.458 | 0.007 | Spitzer IRS (Cassis), low-res
8.478 | 0.007 | Spitzer IRS (Cassis), low-res
8.520 | 0.006 | Spitzer IRS (Cassis), low-res
8.540 | 0.005 | Spitzer IRS (Cassis), low-res
8.582 | 0.004 | Spitzer IRS (Cassis), low-res
8.602 | 0.004 | Spitzer IRS (Cassis), low-res
8.644 | 0.003 | Spitzer IRS (Cassis), low-res
8.665 | 0.003 | Spitzer IRS (Cassis), low-res
8.706 | 0.001 | Spitzer IRS (Cassis), low-res
8.727 | 0.002 | Spitzer IRS (Cassis), low-res
8.769 | 0.001 | Spitzer IRS (Cassis), low-res
8.789 | 0.001 | Spitzer IRS (Cassis), low-res
8.831 | 0.001 | Spitzer IRS (Cassis), low-res
8.851 | 0.001 | Spitzer IRS (Cassis), low-res
8.893 | -0.000 | Spitzer IRS (Cassis), low-res
8.913 | 0.000 | Spitzer IRS (Cassis), low-res
8.975 | 0.001 | Spitzer IRS (Cassis), low-res
9.017 | 0.001 | Spitzer IRS (Cassis), low-res
9.037 | 0.000 | Spitzer IRS (Cassis), low-res
9.079 | -0.000 | Spitzer IRS (Cassis), low-res
9.099 | 0.001 | Spitzer IRS (Cassis), low-res
9.161 | 0.000 | Spitzer IRS (Cassis), low-res
9.223 | 0.000 | Spitzer IRS (Cassis), low-res
9.265 | 0.001 | Spitzer IRS (Cassis), low-res
9.285 | 0.000 | Spitzer IRS (Cassis), low-res
9.327 | 0.000 | Spitzer IRS (Cassis), low-res
9.389 | -0.000 | Spitzer IRS (Cassis), low-res
9.410 | 0.000 | Spitzer IRS (Cassis), low-res
9.452 | 0.000 | Spitzer IRS (Cassis), low-res
9.472 | -0.000 | Spitzer IRS (Cassis), low-res
9.514 | -0.001 | Spitzer IRS (Cassis), low-res
9.534 | 0.000 | Spitzer IRS (Cassis), low-res
9.576 | -0.001 | Spitzer IRS (Cassis), low-res
9.596 | -0.000 | Spitzer IRS (Cassis), low-res
9.638 | 0.000 | Spitzer IRS (Cassis), low-res
9.658 | 0.001 | Spitzer IRS (Cassis), low-res
9.700 | 0.001 | Spitzer IRS (Cassis), low-res
9.720 | 0.000 | Spitzer IRS (Cassis), low-res
9.762 | 0.000 | Spitzer IRS (Cassis), low-res
9.782 | 0.000 | Spitzer IRS (Cassis), low-res
9.824 | -0.000 | Spitzer IRS (Cassis), low-res
9.844 | -0.000 | Spitzer IRS (Cassis), low-res
9.886 | -0.000 | Spitzer IRS (Cassis), low-res
9.906 | 0.000 | Spitzer IRS (Cassis), low-res
9.948 | 0.000 | Spitzer IRS (Cassis), low-res
10.010 | 0.000 | Spitzer IRS (Cassis), low-res
10.031 | 0.000 | Spitzer IRS (Cassis), low-res
10.072 | 0.000 | Spitzer IRS (Cassis), low-res
10.093 | 0.001 | Spitzer IRS (Cassis), low-res
10.135 | 0.000 | Spitzer IRS (Cassis), low-res
10.155 | 0.000 | Spitzer IRS (Cassis), low-res
10.197 | -0.000 | Spitzer IRS (Cassis), low-res
10.217 | -0.000 | Spitzer IRS (Cassis), low-res
10.259 | 0.000 | Spitzer IRS (Cassis), low-res
10.279 | 0.000 | Spitzer IRS (Cassis), low-res
10.321 | 0.000 | Spitzer IRS (Cassis), low-res
10.341 | 0.000 | Spitzer IRS (Cassis), low-res
10.383 | 0.001 | Spitzer IRS (Cassis), low-res
10.403 | 0.000 | Spitzer IRS (Cassis), low-res
10.445 | 0.000 | Spitzer IRS (Cassis), low-res
10.465 | 0.000 | Spitzer IRS (Cassis), low-res
10.507 | 0.000 | Spitzer IRS (Cassis), low-res
10.569 | 0.000 | Spitzer IRS (Cassis), low-res
10.589 | 0.001 | Spitzer IRS (Cassis), low-res
10.652 | 0.001 | Spitzer IRS (Cassis), low-res
10.693 | 0.000 | Spitzer IRS (Cassis), low-res
10.756 | 0.001 | Spitzer IRS (Cassis), low-res
10.776 | 0.000 | Spitzer IRS (Cassis), low-res
10.818 | 0.000 | Spitzer IRS (Cassis), low-res
10.880 | 0.001 | Spitzer IRS (Cassis), low-res
10.900 | 0.001 | Spitzer IRS (Cassis), low-res
10.942 | 0.001 | Spitzer IRS (Cassis), low-res
10.962 | 0.001 | Spitzer IRS (Cassis), low-res
11.004 | 0.000 | Spitzer IRS (Cassis), low-res
11.024 | 0.000 | Spitzer IRS (Cassis), low-res
11.066 | -0.000 | Spitzer IRS (Cassis), low-res
11.086 | 0.000 | Spitzer IRS (Cassis), low-res
11.128 | -0.000 | Spitzer IRS (Cassis), low-res
11.148 | 0.000 | Spitzer IRS (Cassis), low-res
11.190 | 0.000 | Spitzer IRS (Cassis), low-res
11.210 | 0.000 | Spitzer IRS (Cassis), low-res
11.252 | 0.001 | Spitzer IRS (Cassis), low-res
11.314 | 0.001 | Spitzer IRS (Cassis), low-res
11.335 | 0.001 | Spitzer IRS (Cassis), low-res
11.376 | 0.001 | Spitzer IRS (Cassis), low-res
11.397 | 0.001 | Spitzer IRS (Cassis), low-res
11.439 | 0.001 | Spitzer IRS (Cassis), low-res
11.459 | 0.001 | Spitzer IRS (Cassis), low-res
11.501 | 0.001 | Spitzer IRS (Cassis), low-res
11.521 | 0.002 | Spitzer IRS (Cassis), low-res
11.563 | 0.001 | Spitzer IRS (Cassis), low-res
11.583 | 0.001 | Spitzer IRS (Cassis), low-res
11.625 | 0.002 | Spitzer IRS (Cassis), low-res
11.645 | 0.001 | Spitzer IRS (Cassis), low-res
11.687 | 0.001 | Spitzer IRS (Cassis), low-res
11.707 | 0.002 | Spitzer IRS (Cassis), low-res
11.749 | 0.001 | Spitzer IRS (Cassis), low-res
11.769 | 0.001 | Spitzer IRS (Cassis), low-res
11.811 | 0.001 | Spitzer IRS (Cassis), low-res
11.831 | 0.001 | Spitzer IRS (Cassis), low-res
11.873 | 0.001 | Spitzer IRS (Cassis), low-res
11.893 | 0.002 | Spitzer IRS (Cassis), low-res
11.935 | 0.001 | Spitzer IRS (Cassis), low-res
11.956 | 0.001 | Spitzer IRS (Cassis), low-res
11.997 | 0.002 | Spitzer IRS (Cassis), low-res
12.060 | 0.002 | Spitzer IRS (Cassis), low-res
12.080 | 0.003 | Spitzer IRS (Cassis), low-res
12.122 | 0.002 | Spitzer IRS (Cassis), low-res
12.142 | 0.002 | Spitzer IRS (Cassis), low-res
12.184 | 0.002 | Spitzer IRS (Cassis), low-res
12.204 | 0.002 | Spitzer IRS (Cassis), low-res
12.246 | 0.002 | Spitzer IRS (Cassis), low-res
12.266 | 0.002 | Spitzer IRS (Cassis), low-res
12.328 | 0.002 | Spitzer IRS (Cassis), low-res
12.370 | 0.002 | Spitzer IRS (Cassis), low-res
12.390 | 0.002 | Spitzer IRS (Cassis), low-res
12.432 | 0.003 | Spitzer IRS (Cassis), low-res
12.452 | 0.003 | Spitzer IRS (Cassis), low-res
12.494 | 0.002 | Spitzer IRS (Cassis), low-res
12.514 | 0.002 | Spitzer IRS (Cassis), low-res
12.556 | 0.002 | Spitzer IRS (Cassis), low-res
12.618 | 0.003 | Spitzer IRS (Cassis), low-res
12.639 | 0.003 | Spitzer IRS (Cassis), low-res
12.680 | 0.003 | Spitzer IRS (Cassis), low-res
12.743 | 0.003 | Spitzer IRS (Cassis), low-res
12.763 | 0.003 | Spitzer IRS (Cassis), low-res
12.805 | 0.003 | Spitzer IRS (Cassis), low-res
