7.576 | 0.126 | Spitzer IRS (Cassis), low-res
7.637 | 0.123 | Spitzer IRS (Cassis), low-res
7.697 | 0.122 | Spitzer IRS (Cassis), low-res
7.758 | 0.122 | Spitzer IRS (Cassis), low-res
7.818 | 0.122 | Spitzer IRS (Cassis), low-res
7.879 | 0.122 | Spitzer IRS (Cassis), low-res
7.939 | 0.120 | Spitzer IRS (Cassis), low-res
8.000 | 0.114 | Spitzer IRS (Cassis), low-res
8.060 | 0.105 | Spitzer IRS (Cassis), low-res
8.120 | 0.096 | Spitzer IRS (Cassis), low-res
8.181 | 0.087 | Spitzer IRS (Cassis), low-res
8.241 | 0.080 | Spitzer IRS (Cassis), low-res
8.302 | 0.077 | Spitzer IRS (Cassis), low-res
8.362 | 0.074 | Spitzer IRS (Cassis), low-res
8.423 | 0.068 | Spitzer IRS (Cassis), low-res
8.483 | 0.062 | Spitzer IRS (Cassis), low-res
8.544 | 0.057 | Spitzer IRS (Cassis), low-res
8.604 | 0.054 | Spitzer IRS (Cassis), low-res
8.665 | 0.050 | Spitzer IRS (Cassis), low-res
8.725 | 0.046 | Spitzer IRS (Cassis), low-res
8.786 | 0.041 | Spitzer IRS (Cassis), low-res
8.846 | 0.036 | Spitzer IRS (Cassis), low-res
8.907 | 0.033 | Spitzer IRS (Cassis), low-res
8.967 | 0.030 | Spitzer IRS (Cassis), low-res
9.028 | 0.028 | Spitzer IRS (Cassis), low-res
9.088 | 0.028 | Spitzer IRS (Cassis), low-res
9.149 | 0.028 | Spitzer IRS (Cassis), low-res
9.209 | 0.028 | Spitzer IRS (Cassis), low-res
9.270 | 0.028 | Spitzer IRS (Cassis), low-res
9.330 | 0.028 | Spitzer IRS (Cassis), low-res
9.391 | 0.028 | Spitzer IRS (Cassis), low-res
9.451 | 0.029 | Spitzer IRS (Cassis), low-res
9.512 | 0.030 | Spitzer IRS (Cassis), low-res
9.572 | 0.031 | Spitzer IRS (Cassis), low-res
9.633 | 0.035 | Spitzer IRS (Cassis), low-res
9.693 | 0.037 | Spitzer IRS (Cassis), low-res
9.754 | 0.038 | Spitzer IRS (Cassis), low-res
9.814 | 0.039 | Spitzer IRS (Cassis), low-res
9.874 | 0.042 | Spitzer IRS (Cassis), low-res
9.935 | 0.045 | Spitzer IRS (Cassis), low-res
9.995 | 0.048 | Spitzer IRS (Cassis), low-res
10.056 | 0.052 | Spitzer IRS (Cassis), low-res
10.116 | 0.054 | Spitzer IRS (Cassis), low-res
10.177 | 0.056 | Spitzer IRS (Cassis), low-res
10.237 | 0.058 | Spitzer IRS (Cassis), low-res
10.298 | 0.061 | Spitzer IRS (Cassis), low-res
10.358 | 0.065 | Spitzer IRS (Cassis), low-res
10.419 | 0.068 | Spitzer IRS (Cassis), low-res
10.479 | 0.071 | Spitzer IRS (Cassis), low-res
10.540 | 0.073 | Spitzer IRS (Cassis), low-res
10.600 | 0.076 | Spitzer IRS (Cassis), low-res
10.661 | 0.078 | Spitzer IRS (Cassis), low-res
10.721 | 0.079 | Spitzer IRS (Cassis), low-res
10.782 | 0.081 | Spitzer IRS (Cassis), low-res
10.842 | 0.082 | Spitzer IRS (Cassis), low-res
10.903 | 0.083 | Spitzer IRS (Cassis), low-res
10.963 | 0.084 | Spitzer IRS (Cassis), low-res
11.024 | 0.084 | Spitzer IRS (Cassis), low-res
11.084 | 0.086 | Spitzer IRS (Cassis), low-res
11.145 | 0.087 | Spitzer IRS (Cassis), low-res
11.205 | 0.090 | Spitzer IRS (Cassis), low-res
11.266 | 0.091 | Spitzer IRS (Cassis), low-res
11.326 | 0.095 | Spitzer IRS (Cassis), low-res
11.387 | 0.097 | Spitzer IRS (Cassis), low-res
11.447 | 0.101 | Spitzer IRS (Cassis), low-res
11.508 | 0.102 | Spitzer IRS (Cassis), low-res
11.568 | 0.105 | Spitzer IRS (Cassis), low-res
11.629 | 0.109 | Spitzer IRS (Cassis), low-res
11.689 | 0.113 | Spitzer IRS (Cassis), low-res
11.749 | 0.115 | Spitzer IRS (Cassis), low-res
11.810 | 0.118 | Spitzer IRS (Cassis), low-res
11.870 | 0.119 | Spitzer IRS (Cassis), low-res
11.931 | 0.124 | Spitzer IRS (Cassis), low-res
11.991 | 0.129 | Spitzer IRS (Cassis), low-res
12.052 | 0.134 | Spitzer IRS (Cassis), low-res
12.112 | 0.137 | Spitzer IRS (Cassis), low-res
12.173 | 0.139 | Spitzer IRS (Cassis), low-res
12.233 | 0.143 | Spitzer IRS (Cassis), low-res
12.294 | 0.147 | Spitzer IRS (Cassis), low-res
12.354 | 0.152 | Spitzer IRS (Cassis), low-res
12.415 | 0.154 | Spitzer IRS (Cassis), low-res
12.475 | 0.158 | Spitzer IRS (Cassis), low-res
12.536 | 0.161 | Spitzer IRS (Cassis), low-res
12.596 | 0.165 | Spitzer IRS (Cassis), low-res
12.657 | 0.168 | Spitzer IRS (Cassis), low-res
12.717 | 0.174 | Spitzer IRS (Cassis), low-res
12.778 | 0.182 | Spitzer IRS (Cassis), low-res
12.838 | 0.185 | Spitzer IRS (Cassis), low-res
12.899 | 0.185 | Spitzer IRS (Cassis), low-res
12.959 | 0.189 | Spitzer IRS (Cassis), low-res
13.020 | 0.193 | Spitzer IRS (Cassis), low-res
13.080 | 0.200 | Spitzer IRS (Cassis), low-res
13.141 | 0.204 | Spitzer IRS (Cassis), low-res
13.201 | 0.208 | Spitzer IRS (Cassis), low-res
13.262 | 0.213 | Spitzer IRS (Cassis), low-res
13.322 | 0.218 | Spitzer IRS (Cassis), low-res
13.383 | 0.221 | Spitzer IRS (Cassis), low-res
13.443 | 0.225 | Spitzer IRS (Cassis), low-res
13.504 | 0.232 | Spitzer IRS (Cassis), low-res
13.564 | 0.237 | Spitzer IRS (Cassis), low-res
13.624 | 0.242 | Spitzer IRS (Cassis), low-res
13.685 | 0.250 | Spitzer IRS (Cassis), low-res
13.745 | 0.254 | Spitzer IRS (Cassis), low-res
13.806 | 0.262 | Spitzer IRS (Cassis), low-res
13.866 | 0.266 | Spitzer IRS (Cassis), low-res
13.927 | 0.274 | Spitzer IRS (Cassis), low-res
13.987 | 0.280 | Spitzer IRS (Cassis), low-res
5.247 | 0.065 | Spitzer IRS (Cassis), low-res
5.278 | 0.069 | Spitzer IRS (Cassis), low-res
5.308 | 0.070 | Spitzer IRS (Cassis), low-res
5.338 | 0.069 | Spitzer IRS (Cassis), low-res
5.368 | 0.071 | Spitzer IRS (Cassis), low-res
5.399 | 0.073 | Spitzer IRS (Cassis), low-res
5.429 | 0.075 | Spitzer IRS (Cassis), low-res
5.459 | 0.075 | Spitzer IRS (Cassis), low-res
5.489 | 0.076 | Spitzer IRS (Cassis), low-res
5.520 | 0.078 | Spitzer IRS (Cassis), low-res
5.550 | 0.073 | Spitzer IRS (Cassis), low-res
5.580 | 0.071 | Spitzer IRS (Cassis), low-res
5.610 | 0.071 | Spitzer IRS (Cassis), low-res
5.641 | 0.071 | Spitzer IRS (Cassis), low-res
5.671 | 0.072 | Spitzer IRS (Cassis), low-res
5.701 | 0.066 | Spitzer IRS (Cassis), low-res
5.731 | 0.062 | Spitzer IRS (Cassis), low-res
5.762 | 0.057 | Spitzer IRS (Cassis), low-res
5.792 | 0.053 | Spitzer IRS (Cassis), low-res
5.822 | 0.050 | Spitzer IRS (Cassis), low-res
5.852 | 0.048 | Spitzer IRS (Cassis), low-res
5.883 | 0.046 | Spitzer IRS (Cassis), low-res
5.913 | 0.046 | Spitzer IRS (Cassis), low-res
5.943 | 0.047 | Spitzer IRS (Cassis), low-res
5.973 | 0.048 | Spitzer IRS (Cassis), low-res
6.004 | 0.049 | Spitzer IRS (Cassis), low-res
6.034 | 0.050 | Spitzer IRS (Cassis), low-res
6.064 | 0.051 | Spitzer IRS (Cassis), low-res
6.094 | 0.056 | Spitzer IRS (Cassis), low-res
6.125 | 0.060 | Spitzer IRS (Cassis), low-res
6.155 | 0.061 | Spitzer IRS (Cassis), low-res
6.185 | 0.064 | Spitzer IRS (Cassis), low-res
6.215 | 0.065 | Spitzer IRS (Cassis), low-res
6.245 | 0.068 | Spitzer IRS (Cassis), low-res
6.276 | 0.071 | Spitzer IRS (Cassis), low-res
6.306 | 0.075 | Spitzer IRS (Cassis), low-res
6.336 | 0.077 | Spitzer IRS (Cassis), low-res
6.366 | 0.080 | Spitzer IRS (Cassis), low-res
6.397 | 0.083 | Spitzer IRS (Cassis), low-res
6.427 | 0.087 | Spitzer IRS (Cassis), low-res
6.457 | 0.088 | Spitzer IRS (Cassis), low-res
6.487 | 0.089 | Spitzer IRS (Cassis), low-res
6.518 | 0.089 | Spitzer IRS (Cassis), low-res
6.548 | 0.088 | Spitzer IRS (Cassis), low-res
6.578 | 0.085 | Spitzer IRS (Cassis), low-res
6.608 | 0.084 | Spitzer IRS (Cassis), low-res
6.639 | 0.080 | Spitzer IRS (Cassis), low-res
6.669 | 0.074 | Spitzer IRS (Cassis), low-res
6.699 | 0.069 | Spitzer IRS (Cassis), low-res
6.729 | 0.067 | Spitzer IRS (Cassis), low-res
6.760 | 0.063 | Spitzer IRS (Cassis), low-res
6.790 | 0.063 | Spitzer IRS (Cassis), low-res
6.820 | 0.061 | Spitzer IRS (Cassis), low-res
6.850 | 0.062 | Spitzer IRS (Cassis), low-res
6.881 | 0.070 | Spitzer IRS (Cassis), low-res
6.911 | 0.075 | Spitzer IRS (Cassis), low-res
6.941 | 0.072 | Spitzer IRS (Cassis), low-res
6.971 | 0.073 | Spitzer IRS (Cassis), low-res
7.002 | 0.076 | Spitzer IRS (Cassis), low-res
7.032 | 0.081 | Spitzer IRS (Cassis), low-res
7.062 | 0.089 | Spitzer IRS (Cassis), low-res
7.092 | 0.098 | Spitzer IRS (Cassis), low-res
7.122 | 0.104 | Spitzer IRS (Cassis), low-res
7.153 | 0.110 | Spitzer IRS (Cassis), low-res
7.183 | 0.113 | Spitzer IRS (Cassis), low-res
7.213 | 0.113 | Spitzer IRS (Cassis), low-res
7.243 | 0.115 | Spitzer IRS (Cassis), low-res
7.274 | 0.117 | Spitzer IRS (Cassis), low-res
7.304 | 0.120 | Spitzer IRS (Cassis), low-res
7.334 | 0.123 | Spitzer IRS (Cassis), low-res
7.364 | 0.125 | Spitzer IRS (Cassis), low-res
7.395 | 0.124 | Spitzer IRS (Cassis), low-res
7.425 | 0.128 | Spitzer IRS (Cassis), low-res
7.455 | 0.128 | Spitzer IRS (Cassis), low-res
7.485 | 0.124 | Spitzer IRS (Cassis), low-res
7.455 | 0.123 | Spitzer IRS (Cassis), low-res
7.516 | 0.120 | Spitzer IRS (Cassis), low-res
7.576 | 0.118 | Spitzer IRS (Cassis), low-res
7.637 | 0.116 | Spitzer IRS (Cassis), low-res
7.697 | 0.115 | Spitzer IRS (Cassis), low-res
7.758 | 0.116 | Spitzer IRS (Cassis), low-res
7.818 | 0.118 | Spitzer IRS (Cassis), low-res
7.879 | 0.116 | Spitzer IRS (Cassis), low-res
7.939 | 0.114 | Spitzer IRS (Cassis), low-res
8.000 | 0.109 | Spitzer IRS (Cassis), low-res
8.060 | 0.101 | Spitzer IRS (Cassis), low-res
8.120 | 0.090 | Spitzer IRS (Cassis), low-res
8.181 | 0.081 | Spitzer IRS (Cassis), low-res
8.241 | 0.077 | Spitzer IRS (Cassis), low-res
8.302 | 0.074 | Spitzer IRS (Cassis), low-res
8.362 | 0.068 | Spitzer IRS (Cassis), low-res
8.423 | 0.062 | Spitzer IRS (Cassis), low-res
8.483 | 0.050 | Spitzer IRS (Cassis), low-res
20.589 | 1.064 | Spitzer IRS (Cassis), low-res
20.759 | 1.101 | Spitzer IRS (Cassis), low-res
20.928 | 1.119 | Spitzer IRS (Cassis), low-res
21.098 | 1.157 | Spitzer IRS (Cassis), low-res
21.267 | 1.207 | Spitzer IRS (Cassis), low-res
21.436 | 1.228 | Spitzer IRS (Cassis), low-res
21.606 | 1.252 | Spitzer IRS (Cassis), low-res
21.775 | 1.287 | Spitzer IRS (Cassis), low-res
21.944 | 1.337 | Spitzer IRS (Cassis), low-res
22.114 | 1.363 | Spitzer IRS (Cassis), low-res
22.283 | 1.410 | Spitzer IRS (Cassis), low-res
22.452 | 1.441 | Spitzer IRS (Cassis), low-res
22.622 | 1.488 | Spitzer IRS (Cassis), low-res
22.791 | 1.519 | Spitzer IRS (Cassis), low-res
22.960 | 1.554 | Spitzer IRS (Cassis), low-res
23.130 | 1.601 | Spitzer IRS (Cassis), low-res
23.299 | 1.625 | Spitzer IRS (Cassis), low-res
23.468 | 1.653 | Spitzer IRS (Cassis), low-res
23.638 | 1.703 | Spitzer IRS (Cassis), low-res
23.807 | 1.746 | Spitzer IRS (Cassis), low-res
23.977 | 1.778 | Spitzer IRS (Cassis), low-res
24.146 | 1.816 | Spitzer IRS (Cassis), low-res
24.315 | 1.804 | Spitzer IRS (Cassis), low-res
